,City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
138,Tirumullaivāsal,IN,11.2333,79.8333,83.8,70,98,8.32,2021-10-22
139,Brae,GB,60.3964,-1.353,44.51,57,77,22.12,2021-10-22
140,Moerai,PF,-22.4333,-151.3333,72.32,73,45,6.87,2021-10-22
141,Richards Bay,ZA,-28.783,32.0377,88.93,38,100,13.98,2021-10-22
142,Saint-Leu,RE,-21.15,55.2833,81.95,83,36,2.3,2021-10-22
143,Watsa,CD,3.0372,29.5355,74.95,72,100,3.83,2021-10-22
144,Berlevåg,NO,70.8578,29.0864,33.75,60,40,14.97,2021-10-22
145,Leningradskiy,RU,69.3833,178.4167,5.09,87,99,7.96,2021-10-22
146,Atar,MR,20.5169,-13.0499,90.18,13,38,13.38,2021-10-22
147,Dingle,PH,10.9995,122.6711,76.06,93,100,8.01,2021-10-22
148,Vangaindrano,MG,-23.35,47.6,73.45,68,87,7.87,2021-10-22
149,Itaituba,BR,-4.2761,-55.9836,78.96,89,40,0.0,2021-10-22
150,Castro,BR,-24.7911,-50.0119,63.07,63,2,4.29,2021-10-22
151,Katsuura,JP,35.1333,140.3,55.42,90,100,21.39,2021-10-22
152,Berdigestyakh,RU,62.0989,126.6992,30.56,91,100,6.87,2021-10-22
153,Socorro,US,31.6546,-106.3033,70.88,41,20,0.0,2021-10-22
154,Shenjiamen,CN,29.9576,122.298,64.6,54,100,18.61,2021-10-22
155,Khorixas,NA,-20.3667,14.9667,86.38,9,25,16.26,2021-10-22
156,Şebinkarahisar,TR,40.2883,38.4236,62.08,21,0,1.95,2021-10-22
157,Gillette,US,44.2911,-105.5022,44.24,78,1,3.44,2021-10-22
158,Puerto Ayora,EC,-0.7393,-90.3518,69.33,88,94,8.14,2021-10-22
159,Qaanaaq,GL,77.484,-69.3632,-2.47,71,0,8.99,2021-10-22
160,Antofagasta,CL,-23.65,-70.4,58.28,70,57,5.12,2021-10-22
161,Havelock,US,34.8791,-76.9013,71.94,89,90,1.01,2021-10-22
162,Coquimbo,CL,-29.9533,-71.3436,51.53,87,20,2.3,2021-10-22
163,Upernavik,GL,72.7868,-56.1549,18.84,91,100,10.04,2021-10-22
164,Safi,MA,32.2994,-9.2372,71.44,62,10,17.34,2021-10-22
165,Ostrovnoy,RU,68.0531,39.5131,35.67,77,100,26.17,2021-10-22
166,Pec,XK,42.6591,20.2883,64.69,61,60,5.3,2021-10-22
167,Guerrero Negro,MX,27.9769,-114.0611,65.34,84,0,8.63,2021-10-22
168,Naryan-Mar,RU,67.6713,53.087,30.27,91,90,5.88,2021-10-22
169,Biltine,TD,14.5333,20.9167,97.47,14,70,15.48,2021-10-22
170,Provideniya,RU,64.3833,-173.3,25.23,70,100,12.88,2021-10-22
171,Severo-Kuril'sk,RU,50.6789,156.125,38.48,75,72,8.72,2021-10-22
172,Ginir,ET,7.1333,40.7,75.87,24,87,11.81,2021-10-22
173,Skjervøy,NO,70.0311,20.9714,33.98,56,89,9.46,2021-10-22
174,Port Hedland,AU,-20.3167,118.5667,80.65,50,6,8.05,2021-10-22
175,Portland,US,45.5234,-122.6762,54.84,92,100,1.99,2021-10-22
176,Wakefield,GB,53.6809,-1.499,56.25,63,54,11.92,2021-10-22
177,Yellowknife,CA,62.456,-114.3525,39.72,85,1,16.11,2021-10-22
178,Manchester,GB,53.4809,-2.2374,56.32,82,75,3.0,2021-10-22
179,Ocós,GT,14.5094,-92.1933,78.01,82,100,4.32,2021-10-22
180,Makkah al Mukarramah,SA,21.4267,39.8261,101.08,16,5,14.72,2021-10-22
181,Banjar,ID,-8.19,114.9675,82.26,91,65,6.42,2021-10-22
182,George Town,MY,5.4112,100.3354,84.15,80,20,1.01,2021-10-22
183,Nuevo Progreso,MX,23.1667,-97.95,74.59,84,10,2.98,2021-10-22
184,Longyearbyen,SJ,78.2186,15.6401,19.24,86,75,11.5,2021-10-22
185,Kavieng,PG,-2.5744,150.7967,81.3,76,100,10.65,2021-10-22
186,Chui,UY,-33.6971,-53.4616,64.58,64,9,2.3,2021-10-22
187,Ketchikan,US,55.3422,-131.6461,50.47,87,90,12.66,2021-10-22
188,Mirabela,BR,-16.2628,-44.1644,71.85,71,69,6.71,2021-10-22
189,Skibbereen,IE,51.55,-9.2667,51.6,71,100,9.51,2021-10-22
190,Saint-Louis,SN,16.3333,-15.0,94.64,9,100,13.85,2021-10-22
191,Chicama,PE,-7.8447,-79.1469,57.74,87,87,4.94,2021-10-22
192,Tortolì,IT,39.9256,9.6572,77.99,69,0,2.3,2021-10-22
193,Pontes e Lacerda,BR,-15.2261,-59.3353,87.04,55,72,4.9,2021-10-22
194,Jalu,LY,29.0331,21.5482,83.26,25,8,4.18,2021-10-22
195,Zhaoyuan,CN,37.3592,120.3964,49.77,63,3,2.91,2021-10-22
196,Husavik,IS,66.0449,-17.3389,30.11,67,100,11.05,2021-10-22
197,São Fidélis,BR,-21.6461,-41.7469,69.75,82,86,1.54,2021-10-22
198,Wendo,ET,6.6,38.4167,69.42,62,97,2.46,2021-10-22
199,Verkhoyansk,RU,67.5447,133.385,9.34,97,96,2.44,2021-10-22
200,Nouadhibou,MR,20.931,-17.0347,78.78,61,2,12.66,2021-10-22
201,Abomsa,ET,9.9833,39.9833,85.28,21,100,12.88,2021-10-22
202,Alofi,NU,-19.0595,-169.9187,69.69,78,69,5.75,2021-10-22
203,Biak,ID,-0.9131,122.8766,79.09,78,96,2.15,2021-10-22
204,Bambous Virieux,MU,-20.3428,57.7575,79.21,78,75,17.27,2021-10-22
205,Port Augusta,AU,-32.5,137.7667,67.71,82,84,18.86,2021-10-22
206,Laas,IT,46.6166,10.7002,60.03,56,31,2.57,2021-10-22
207,Saint-Joseph,RE,-21.3667,55.6167,81.46,74,51,2.26,2021-10-22
208,Nouakchott,MR,18.0858,-15.9785,93.13,24,66,13.53,2021-10-22
209,Telimele,GN,10.9167,-13.3333,85.73,54,54,2.04,2021-10-22
210,Port Hardy,CA,50.6996,-127.4199,51.8,87,75,9.22,2021-10-22
211,Alice Springs,AU,-23.7,133.8833,87.35,20,26,8.05,2021-10-22
212,Katastari,GR,37.8333,20.7667,75.11,73,40,9.22,2021-10-22
213,Bedēsa,ET,8.9,40.7833,75.74,38,92,8.59,2021-10-22
214,Pisco,PE,-13.7,-76.2167,59.05,88,90,2.3,2021-10-22
215,Noumea,NC,-22.2763,166.4572,77.0,99,63,2.82,2021-10-22
216,Ngunguru,NZ,-35.6167,174.5,59.16,85,100,25.34,2021-10-22
217,Minot,US,48.2325,-101.2963,38.39,80,90,6.91,2021-10-22
218,Carei,RO,47.6833,22.4667,66.02,45,52,14.92,2021-10-22
219,Huilong,CN,31.8111,121.655,62.92,56,79,9.53,2021-10-22
220,Zyryanka,RU,65.75,150.85,-5.31,94,25,1.54,2021-10-22
221,Saint-Philippe,RE,-21.3585,55.7679,82.47,79,60,7.65,2021-10-22
222,Ambilobe,MG,-13.2,49.05,87.89,49,85,11.56,2021-10-22
223,Sigli,ID,5.3848,95.9609,77.77,85,100,5.73,2021-10-22
224,Whitehorse,CA,60.7161,-135.0538,37.02,93,90,15.01,2021-10-22
225,Yerköy,TR,39.6381,34.4672,68.34,15,0,3.36,2021-10-22
226,Tura,IN,25.5198,90.2201,67.71,77,1,2.33,2021-10-22
227,Hithadhoo,MV,-0.6,73.0833,82.72,73,64,11.59,2021-10-22
228,Saint Anthony,US,45.0205,-93.218,36.3,86,1,0.0,2021-10-22
229,Tevriz,RU,57.509,72.4042,36.52,74,93,11.59,2021-10-22
230,Port Lincoln,AU,-34.7333,135.8667,55.94,76,3,9.95,2021-10-22
231,Ossora,RU,59.2353,163.0719,18.95,71,51,4.56,2021-10-22
232,Korla,CN,41.7597,86.1469,60.85,24,67,17.27,2021-10-22
233,Forsytheganj,BY,52.6333,29.7333,53.37,52,24,18.52,2021-10-22
234,Yerbogachën,RU,61.2767,108.0108,34.48,84,100,7.23,2021-10-22
235,El Copey,CO,10.1503,-73.9614,74.77,91,4,3.49,2021-10-22
236,Hinton,CA,53.4001,-117.5857,36.1,68,100,4.83,2021-10-22
237,Christchurch,NZ,-43.5333,172.6333,52.92,74,73,1.01,2021-10-22
238,Castro Urdiales,ES,43.3829,-3.2204,60.12,85,97,5.79,2021-10-22
239,Faanui,PF,-16.4833,-151.75,78.13,80,16,8.97,2021-10-22
240,São José da Coroa Grande,BR,-8.8978,-35.1478,82.31,71,56,9.13,2021-10-22
241,Bosaso,SO,11.2842,49.1816,85.98,62,0,11.5,2021-10-22
242,Nemuro,JP,43.3236,145.575,48.7,70,98,9.75,2021-10-22
243,Maţāy,EG,28.419,30.7792,82.8,32,0,15.26,2021-10-22
244,Pishin,PK,30.5803,66.9961,64.47,23,0,16.51,2021-10-22
245,Ibrā’,OM,22.6906,58.5334,94.48,21,6,11.92,2021-10-22
246,Rock Sound,BS,24.9,-76.2,81.81,72,100,17.09,2021-10-22
247,Porto-Novo,BJ,6.4965,2.6036,84.02,60,73,7.65,2021-10-22
248,Sinnamary,GF,5.3833,-52.95,80.55,85,100,9.93,2021-10-22
249,Minggang,CN,32.4586,114.0486,57.52,61,99,6.06,2021-10-22
250,Pokosnoye,RU,55.5258,101.0536,37.83,68,75,4.76,2021-10-22
251,Krasnoarmeysk,RU,51.0239,45.6969,62.15,51,63,21.03,2021-10-22
252,Lata,PT,40.1629,-8.3327,67.35,37,0,8.34,2021-10-22
253,Havøysund,NO,70.9963,24.6622,32.88,64,100,18.79,2021-10-22
254,Geraldton,AU,-28.7667,114.6,65.12,77,0,14.97,2021-10-22
255,Tsabong,BW,-26.0217,22.401,81.54,11,1,14.94,2021-10-22
256,Menongue,AO,-14.6585,17.691,86.76,31,73,1.28,2021-10-22
257,Khatanga,RU,71.9667,102.5,9.28,93,100,8.05,2021-10-22
258,Weymouth,US,42.2209,-70.9398,66.2,92,40,4.0,2021-10-22
259,Canutama,BR,-6.5339,-64.3831,79.59,81,99,3.22,2021-10-22
260,Laguna,US,38.421,-121.4238,65.61,88,20,1.01,2021-10-22
261,Mangan,IN,27.5167,88.5333,68.58,98,94,2.28,2021-10-22
262,Fort Nelson,CA,58.8053,-122.7002,38.79,81,75,9.22,2021-10-22
263,Rawson,AR,-43.3002,-65.1023,54.01,41,74,4.12,2021-10-22
264,Deep River,CA,46.1001,-77.4995,35.35,88,37,7.56,2021-10-22
265,Kelowna,CA,49.8831,-119.4857,53.28,91,90,1.01,2021-10-22
266,Tiksi,RU,71.6872,128.8694,4.62,98,100,3.4,2021-10-22
267,Deer Lake,CA,49.1667,-57.4316,30.06,100,20,0.0,2021-10-22
268,Ancud,CL,-41.8697,-73.8203,49.42,76,75,6.02,2021-10-22
269,Sobolevo,RU,54.4299,31.8996,49.93,57,44,19.1,2021-10-22
270,Larreynaga,NI,12.6769,-86.5719,72.1,94,93,1.63,2021-10-22
271,Itarema,BR,-2.9248,-39.9167,86.74,57,100,12.86,2021-10-22
272,Necochea,AR,-38.5473,-58.7368,54.03,87,100,9.78,2021-10-22
273,Malanje,AO,-9.5402,16.341,70.23,77,100,1.66,2021-10-22
274,Afareaitu,PF,-17.55,-149.7833,78.82,78,75,13.8,2021-10-22
275,Rodrigues Alves,BR,-7.738,-72.6509,77.86,76,84,3.58,2021-10-22
276,Cockburn Town,TC,21.4612,-71.1419,83.32,74,11,18.03,2021-10-22
277,Kollam,IN,8.8833,76.6,85.87,79,94,6.08,2021-10-22
278,Deputatsky,RU,69.3,139.9,-7.15,99,100,1.14,2021-10-22
279,Palu,ID,-0.8917,119.8707,77.05,95,93,0.25,2021-10-22
280,Hendrina,ZA,-26.1588,29.7153,74.28,32,88,16.44,2021-10-22
281,Quilpué,CL,-33.045,-71.4494,57.13,81,90,2.3,2021-10-22
282,Los Llanos de Aridane,ES,28.6585,-17.9182,72.12,72,75,7.0,2021-10-22
283,Ternate,ID,0.8,127.4,82.38,73,89,1.32,2021-10-22
284,Kulhudhuffushi,MV,6.6221,73.07,81.7,77,71,8.63,2021-10-22
285,Santa Fe,AR,-31.6333,-60.7,72.91,54,0,5.99,2021-10-22
286,Samarai,PG,-10.6167,150.6667,81.37,77,91,12.8,2021-10-22
287,Narsaq,GL,60.9167,-46.05,32.22,90,100,2.33,2021-10-22
288,Labuan,MY,5.2767,115.2417,82.56,83,20,0.0,2021-10-22
289,Shelburne,CA,44.0787,-80.2041,38.75,96,97,12.26,2021-10-22
290,Playas,EC,-2.6333,-80.3833,71.13,86,100,8.95,2021-10-22
291,Viedma,AR,-40.8135,-62.9967,57.94,48,41,13.44,2021-10-22
292,Lagoa,PT,39.05,-27.9833,67.68,70,75,6.8,2021-10-22
293,Springville,US,40.1652,-111.6107,55.81,67,1,0.0,2021-10-22
294,Batticaloa,LK,7.7102,81.6924,82.96,76,43,8.81,2021-10-22
295,Yumen,CN,40.2833,97.2,50.61,22,52,15.68,2021-10-22
296,Mount Gambier,AU,-37.8333,140.7667,51.71,93,90,6.91,2021-10-22
297,Maltahöhe,NA,-24.8333,16.9833,80.96,5,2,19.1,2021-10-22
298,Touros,BR,-5.1989,-35.4608,85.1,68,97,12.41,2021-10-22
299,Pitimbu,BR,-7.4706,-34.8086,82.99,67,96,10.38,2021-10-22
300,Beringovskiy,RU,63.05,179.3167,18.84,88,100,14.99,2021-10-22
301,Kununurra,AU,-15.7667,128.7333,87.78,62,14,8.05,2021-10-22
302,Caconda,AO,-13.7333,15.0667,87.53,19,28,4.18,2021-10-22
303,Chardara,KZ,41.2547,67.9692,50.86,33,76,2.21,2021-10-22
304,Tazmalt,DZ,36.3868,4.3989,79.5,24,19,4.94,2021-10-22
305,Carpinteria,US,34.3989,-119.5185,62.6,36,72,3.0,2021-10-22
306,Casa Branca,BR,-21.7739,-47.0864,63.93,57,0,1.34,2021-10-22
307,Warmbad,NA,-28.45,18.7333,71.24,27,29,12.48,2021-10-22
308,Sabha,LY,27.0377,14.4283,87.62,18,95,15.88,2021-10-22
309,Boké,GN,10.9409,-14.2967,89.13,48,35,3.91,2021-10-22
310,Lüderitz,NA,-26.6481,15.1594,63.97,66,21,14.92,2021-10-22
311,Hastings,GB,50.8552,0.5729,56.19,67,20,17.49,2021-10-22
312,Yulara,AU,-25.2406,130.9889,85.84,11,0,8.05,2021-10-22
313,Namatanai,PG,-3.6667,152.4333,77.45,85,100,4.94,2021-10-22
314,Tsimmerbude,RU,54.675,20.1347,48.25,81,100,27.25,2021-10-22
315,Khāsh,IR,28.2211,61.2158,68.18,22,0,9.8,2021-10-22
316,Paita,PE,-5.0892,-81.1144,64.85,87,97,11.05,2021-10-22
317,Carnarvon,AU,-24.8667,113.6333,71.67,83,6,17.27,2021-10-22
318,Plavsk,RU,53.7094,37.2919,54.14,61,39,21.41,2021-10-22
319,Okhotsk,RU,59.3833,143.3,19.99,94,100,7.18,2021-10-22
320,Rio Grande,BR,-32.035,-52.0986,60.94,73,0,5.73,2021-10-22
321,Half Moon Bay,US,37.4636,-122.4286,65.41,89,90,5.99,2021-10-22
322,Mithi,PK,24.7318,69.7981,84.88,52,4,18.86,2021-10-22
323,Cururupu,BR,-1.8283,-44.8683,85.8,64,94,4.99,2021-10-22
324,Bhādāsar,IN,28.2833,74.3167,87.75,26,0,14.29,2021-10-22
325,Bowen,AU,-20.0167,148.2333,75.42,84,2,11.32,2021-10-22
326,Vagay,RU,57.9375,69.0217,35.02,92,100,10.0,2021-10-22
327,Toba,JP,34.4833,136.85,64.4,62,4,16.51,2021-10-22
328,Barra do Garças,BR,-15.89,-52.2567,87.17,44,50,6.26,2021-10-22
329,Caravelas,BR,-17.7125,-39.2481,75.79,81,100,7.2,2021-10-22
330,Kharitonovo,RU,61.4009,47.4978,49.37,86,100,12.97,2021-10-22
331,Airai,TL,-8.9266,125.4092,65.21,84,90,0.89,2021-10-22
332,Mbamba,NG,9.9833,13.1,88.05,48,95,2.84,2021-10-22
333,Hualmay,PE,-11.0964,-77.6139,62.65,85,69,7.83,2021-10-22
334,Yanam,IN,16.7333,82.2167,93.6,72,53,3.4,2021-10-22
335,Sīwah,EG,29.2041,25.5195,79.84,30,0,8.1,2021-10-22
336,Yatou,CN,37.15,122.3833,51.3,55,2,6.13,2021-10-22
337,Codrington,AU,-38.2667,141.9667,54.0,91,94,10.85,2021-10-22
338,Ikwiriri,TZ,-7.9562,38.9716,89.13,43,93,9.62,2021-10-22
